#Position	Illumina Universal Adapter	Illumina Small RNA 3' Adapter	Illumina Small RNA 5' Adapter	Nextera Transposase Sequence	PolyA	PolyG
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0
10-14	0.003058324038426942	0.0	0.0	0.0	0.0	0.0
15-19	0.008995070701255712	0.0	0.0	0.0	0.0	0.0
20-24	0.008995070701255712	0.0	0.0	0.0	0.0010794084841506855	0.0
25-29	0.008995070701255712	0.0	0.0	0.0	0.0013492606051883568	0.0
30-34	0.008995070701255712	0.0	0.0	1.7990141402511424E-4	0.0013492606051883568	0.0
35-39	0.00971467635735617	0.0	0.0	5.397042420753427E-4	0.0013492606051883568	0.0
40-44	0.011063936962544527	0.0	0.0	0.0013492606051883568	0.0013492606051883568	0.0
45-49	0.011243838376569639	0.0	0.0	0.0017990141402511426	0.0013492606051883568	0.0
50-54	0.011243838376569639	0.0	0.0	0.0027884719173892707	0.0016191127262260283	0.0
55-59	0.011243838376569639	0.0	0.0	0.003867880401539956	0.0019789155542762568	0.0
60-64	0.011243838376569639	0.0	0.0	0.004857338178678084	0.003148274745439499	0.0
65-69	0.011513690497607311	0.0	0.0	0.0056668945417910985	0.0035080775734897276	0.0
70-74	0.011693591911632426	0.0	0.0	0.005846795955816213	0.0039578311085525135	0.0
75-79	0.011693591911632426	0.0	0.0	0.006116648076853885	0.00530709171374087	0.0
80-84	0.011693591911632426	0.0	0.0	0.00656640161191667	0.006296549490878998	0.0
85-89	0.011693591911632426	0.0	0.0	0.006746303025941784	0.006296549490878998	0.0
90-94	0.011873493325657538	0.0	0.0	0.00719605656100457	0.006296549490878998	0.0
95-99	0.012862951102795669	0.0	0.0	0.007915662217105027	0.006386500197891555	0.0
100-104	0.014122261000971466	0.0	0.0	0.008185514338142698	0.007106105853992012	0.0
105-109	0.014841866657071925	0.0	0.0	0.008725218580218042	0.008095563631130141	0.0
110-114	0.014841866657071925	0.0	0.0	0.009984528478393841	0.008095563631130141	0.0
115-119	0.014841866657071925	0.0	0.0	0.010344331306444068	0.008095563631130141	0.0
120-124	0.014841866657071925	0.0	0.0	0.010794084841506854	0.008095563631130141	0.0
125-129	0.014841866657071925	0.0	0.0	0.010794084841506854	0.008185514338142698	0.0
130-134	0.014841866657071925	0.0	0.0	0.010794084841506854	0.008545317166192926	0.0
