#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.712908825963375	34.0	34.0	34.0	34.0	34.0
2	33.70932878782427	34.0	34.0	34.0	34.0	34.0
3	33.678777030187454	34.0	34.0	34.0	34.0	34.0
4	33.767135609685894	34.0	34.0	34.0	34.0	34.0
5	33.804501133378906	34.0	34.0	34.0	34.0	34.0
6	37.59077375598172	38.0	38.0	38.0	37.0	38.0
7	37.51373097542547	38.0	38.0	38.0	37.0	38.0
8	37.435010614183426	38.0	38.0	38.0	37.0	38.0
9	37.16545083294355	38.0	38.0	38.0	36.0	38.0
10-14	37.33790612744217	38.0	38.0	38.0	36.4	38.0
15-19	37.320939625085444	38.0	38.0	38.0	36.4	38.0
20-24	37.362352031086964	38.0	38.0	38.0	37.0	38.0
25-29	37.293662073183896	38.0	38.0	38.0	37.0	38.0
30-34	37.21308153132084	38.0	38.0	38.0	36.6	38.0
35-39	37.052645450293234	38.0	38.0	38.0	36.0	38.0
40-44	37.12103587234195	38.0	38.0	38.0	36.0	38.0
45-49	37.06342784154283	38.0	38.0	38.0	36.0	38.0
50-54	37.05845266793797	38.0	38.0	38.0	36.0	38.0
55-59	37.16563523189292	38.0	38.0	38.0	36.0	38.0
60-64	37.166255891771314	38.0	38.0	38.0	36.4	38.0
65-69	36.830890871802254	38.0	37.8	38.0	34.8	38.0
70-74	36.815182779836654	38.0	38.0	38.0	35.2	38.0
75-79	36.95645936027057	38.0	38.0	38.0	35.8	38.0
80-84	36.76012305256719	38.0	38.0	38.0	34.8	38.0
85-89	36.711776346562075	38.0	37.8	38.0	34.4	38.0
90-94	36.881217392868706	38.0	38.0	38.0	35.2	38.0
95-99	37.01439481164322	38.0	38.0	38.0	36.2	38.0
100-104	37.05733997769223	38.0	38.0	38.0	36.4	38.0
105-109	36.84880365559674	38.0	38.0	38.0	35.4	38.0
110-114	36.711199762530136	38.0	38.0	38.0	34.6	38.0
115-119	36.429952685928114	38.0	37.2	38.0	34.2	38.0
120-124	36.30084103911056	38.0	37.0	38.0	34.0	38.0
125-129	36.23450778973123	38.0	37.0	38.0	34.0	38.0
130-134	36.32175457849099	38.0	37.0	38.0	34.0	38.0
135-139	36.057271615154896	38.0	37.0	38.0	32.4	38.0
140-144	36.23264760911021	38.0	37.0	38.0	33.4	38.0
145-149	36.38055895369338	38.0	37.0	38.0	34.0	38.0
150-154	36.22542366783003	38.0	37.0	38.0	34.0	38.0
155-159	36.26417803043932	38.0	37.0	38.0	34.0	38.0
160-164	36.195872162055196	38.0	37.0	38.0	33.6	38.0
165-169	36.141877451156766	38.0	37.0	38.0	33.2	38.0
170-174	35.862015615442736	38.0	36.8	38.0	31.6	38.0
175-179	35.8260479257367	38.0	37.0	38.0	31.6	38.0
180-184	35.9461941855863	38.0	36.8	38.0	32.2	38.0
185-189	35.94634260425287	38.0	37.0	38.0	32.4	38.0
190-194	35.68737451876372	38.0	36.4	38.0	30.2	38.0
195-199	35.674812003022346	38.0	36.0	38.0	30.4	38.0
200-204	35.44380419530098	38.0	36.2	38.0	28.8	38.0
205-209	34.8651809808225	38.0	35.2	38.0	25.6	38.0
210-214	34.59846184291008	38.0	34.6	38.0	24.8	38.0
215-219	34.141363832619724	37.8	33.6	38.0	23.8	38.0
220-224	34.256637462670454	38.0	34.2	38.0	23.6	38.0
225-229	34.52372989601698	37.8	34.4	38.0	24.8	38.0
230-234	34.30921455042637	37.2	34.0	38.0	24.4	38.0
235-239	34.103362357428125	37.2	34.0	38.0	23.4	38.0
240-244	33.99750116935919	37.2	33.8	38.0	24.0	38.0
245-249	33.707635915518296	37.2	33.0	37.8	22.8	38.0
250-254	33.479393192530495	37.0	33.0	37.8	22.0	38.0
255-259	32.56810347929335	36.2	31.0	37.8	21.4	37.8
260-264	32.26176735149138	37.0	29.4	37.8	19.8	38.0
265-269	32.054135933508434	36.6	28.8	37.4	19.6	38.0
270-274	30.997878062821577	35.0	26.8	37.0	18.4	37.4
275-279	31.41086514590005	36.2	27.6	37.0	18.6	37.6
280-284	30.84239196920088	35.0	26.2	37.2	17.4	37.8
285-289	29.046668225812255	32.4	23.8	37.0	15.6	37.0
290-294	27.921696110531435	30.2	22.0	36.8	13.8	37.0
295-299	27.00889612492354	29.2	20.6	35.0	12.8	37.0
300-304	26.557747454394992	28.6	20.2	35.0	11.8	37.0
305-309	25.796133019105532	27.4	19.2	34.0	10.8	37.0
310-314	25.016989889540532	26.2	18.2	32.8	9.0	37.0
315-319	23.578838196668222	25.0	16.8	30.6	8.0	37.0
320-324	23.221180692980248	25.0	16.8	30.0	8.0	36.6
325-326	21.353180207246428	22.0	14.5	27.5	8.0	33.5
