#Tile	Base	Mean
1101	1	-0.13085900088201186
1101	2	-0.07995317861106344
1101	3	0.030719885138189795
1101	4	0.02186304831325714
1101	5	-0.06279136045304767
1101	6	0.059835231743825545
1101	7	0.05384267863057346
1101	8	-0.2057886348853657
1101	9	0.025703066263375263
1101	10-14	-0.05702357006375536
1101	15-19	0.0250572104961293
1101	20-24	0.015395178613168525
1101	25-29	0.022307546883830298
1101	30-34	0.04002626685714006
1101	35-39	-0.04837036882626222
1101	40-44	-0.021088149620958063
1101	45-49	-0.03157825272680981
1101	50-54	0.011929978200676317
1101	55-59	-0.006193170000294401
1101	60-64	0.060700378467579696
1101	65-69	0.013920635871052411
1101	70-74	-0.014654933847936036
1101	75-79	0.03148863753614961
1101	80-84	-0.02154227761236882
1101	85-89	-0.07383375276258874
1101	90-94	-0.0663708211681282
1101	95-99	-0.028858091070794956
1101	100-104	-0.042037819632319895
1101	105-109	0.035185447043673435
1101	110-114	-0.10225888029766139
1101	115-119	-0.11825884813574561
1101	120-124	-0.03788978164931933
1101	125-129	-0.02321736897609128
1101	130-134	-0.1316843023094023
1101	135-139	-0.24901323715999268
1101	140-144	-0.2555270400968013
1101	145-149	-0.19687141514166484
1101	150-154	-0.17434650551952302
1101	155-159	-0.1494772652197156
1101	160-164	-0.0702289639552518
1101	165-169	0.08191235165309507
1101	170-174	-0.15145580033470907
1101	175-179	-0.2997652882319386
1101	180-184	-0.2902184696453105
1101	185-189	-0.3148055345937877
1101	190-194	-0.3881956050630819
1101	195-199	-0.5321644005535902
1101	200-204	-0.5462083141282008
1101	205-209	-0.4782512240683232
1101	210-214	-0.9502699057926378
1101	215-219	-1.137238700000161
1101	220-224	-0.8210543212715891
1101	225-229	-0.6762188963867715
1101	230-234	-1.769623740016634
1101	235-239	-1.1829957580797341
1101	240-244	-1.8846024474143377
1101	245-249	-1.7492191727873703
1101	250-254	-1.5831310961301277
1101	255-259	-2.500709384816499
1101	260-264	-3.2720240246481964
1101	265-269	-1.9864858392503706
1101	270-274	-2.9488921868410394
1101	275-279	-2.9101355128883704
1101	280-284	-2.964222093175561
1101	285-289	-2.7263618669763403
1101	290-294	-2.4949868259560155
1101	295-299	-1.526164031095945
1101	300-304	-1.7790181230829027
1101	305-309	-2.2041712972668677
1101	310-314	-2.4350357256874062
1101	315-319	-2.1494116446761034
1101	320-324	-2.093120974430896
1101	325-326	-2.698875074292289
1102	1	-0.024466522767504273
1102	2	0.01564201036505608
1102	3	0.06413008425898425
1102	4	0.06516706586960197
1102	5	0.0036352455348307444
1102	6	0.10735803518191034
1102	7	0.1719091432869817
1102	8	0.023630229163366323
1102	9	0.11881228145162481
1102	10-14	0.053556898723705615
1102	15-19	0.10092156615784376
1102	20-24	-0.037057492187067
1102	25-29	-0.020370385545561476
1102	30-34	0.02496245729187052
1102	35-39	0.01684503518164604
1102	40-44	0.08558862229040898
1102	45-49	0.12792901289208203
1102	50-54	0.08380544348040075
1102	55-59	0.22179938300058666
1102	60-64	0.20711388407111997
1102	65-69	0.2221445417224075
1102	70-74	0.20274868069731156
1102	75-79	0.18061789413587093
1102	80-84	0.25591962780746513
1102	85-89	0.09370045554898354
1102	90-94	0.05620246906295279
1102	95-99	0.13243409008484264
1102	100-104	0.0865934993394859
1102	105-109	0.09257912826112857
1102	110-114	0.0706870201305847
1102	115-119	0.15680791556145124
1102	120-124	0.1471079834307858
1102	125-129	0.13678407102522527
1102	130-134	0.2461627443157255
1102	135-139	0.17652397165375788
1102	140-144	0.18056526793036198
1102	145-149	0.17081168268126845
1102	150-154	0.1503300462120123
1102	155-159	0.2993221317146748
1102	160-164	0.41036094606753437
1102	165-169	0.4470134703432649
1102	170-174	0.46124288199310826
1102	175-179	0.38144062059972583
1102	180-184	0.47299132640129216
1102	185-189	0.29460253181093776
1102	190-194	0.5103349232801833
1102	195-199	0.44870287927287933
1102	200-204	0.5474202163197077
1102	205-209	0.7345574693126409
1102	210-214	0.8177218223224969
1102	215-219	0.7539723237540343
1102	220-224	0.6413910911649694
1102	225-229	0.923618019127268
1102	230-234	0.9396534014056854
1102	235-239	0.9304115452662458
1102	240-244	0.5954052241808228
1102	245-249	0.8928874671170348
1102	250-254	0.44474498710415844
1102	255-259	0.8058262101863676
1102	260-264	0.3615793049881262
1102	265-269	1.3973193508108785
1102	270-274	0.3643629148328351
1102	275-279	1.3060247559455185
1102	280-284	1.255886925806596
1102	285-289	0.8362124121713066
1102	290-294	0.3881742907910315
1102	295-299	1.1718141471273213
1102	300-304	0.9889400260312016
1102	305-309	0.8161981048660429
1102	310-314	0.45123114898295213
1102	315-319	0.8651222901456173
1102	320-324	0.8754190188059852
1102	325-326	0.03375733485356491
1103	1	0.04168458404210185
1103	2	-0.023003264600205853
1103	3	0.07263899333184298
1103	4	0.021530600711770376
1103	5	0.03851153598549928
1103	6	-0.2426580954514037
1103	7	0.09412847026732862
1103	8	-0.2226969497129474
1103	9	0.02937102177324391
1103	10-14	-0.0768301123940276
1103	15-19	-0.1533536720792057
1103	20-24	-0.12242328531790747
1103	25-29	-0.11611313916875332
1103	30-34	-0.0016785244432924173
1103	35-39	-0.18561922926148355
1103	40-44	-0.22489194650054145
1103	45-49	-0.09188126604379221
1103	50-54	-0.07957057399030987
1103	55-59	0.045647903945592816
1103	60-64	0.1670038235192024
1103	65-69	-0.08562049699110474
1103	70-74	0.044629388459867414
1103	75-79	0.11470626519006544
1103	80-84	0.022129053060588433
1103	85-89	-0.20209006956518039
1103	90-94	-0.25608659188602445
1103	95-99	0.07478941071219225
1103	100-104	0.0387072327125253
1103	105-109	0.056654346645089504
1103	110-114	0.07008708465312452
1103	115-119	-0.023422132085947567
1103	120-124	-0.14820979004548462
1103	125-129	-0.25327635680880434
1103	130-134	-0.11876863845179741
1103	135-139	-0.1841166626523716
1103	140-144	0.09533410354679006
1103	145-149	-0.2970852549800327
1103	150-154	0.12939062294420012
1103	155-159	0.16964983173453163
1103	160-164	0.2332856780508621
1103	165-169	0.3334835914470986
1103	170-174	0.4141203388126442
1103	175-179	0.23026370477682434
1103	180-184	0.20669814593673408
1103	185-189	0.22773857509066886
1103	190-194	0.20223920658374084
1103	195-199	-0.009812233889711308
1103	200-204	0.42546208151723874
1103	205-209	0.5732635443573173
1103	210-214	0.5321109676470925
1103	215-219	0.39710191478042844
1103	220-224	0.6637617979348747
1103	225-229	0.6130412869454105
1103	230-234	-0.0999138012943348
1103	235-239	-0.05597978389793923
1103	240-244	0.2790214640061208
1103	245-249	0.7108787069423315
1103	250-254	0.32789405897233337
1103	255-259	0.05379437079784566
1103	260-264	0.45372554779139307
1103	265-269	0.32210717094190855
1103	270-274	-0.3012695300748476
1103	275-279	-0.7820820040306558
1103	280-284	0.9995668195925766
1103	285-289	-0.09886364996885533
1103	290-294	0.14677688161890146
1103	295-299	0.10513631309912697
1103	300-304	0.026570932324631258
1103	305-309	0.14065152456030106
1103	310-314	0.28748102490115457
1103	315-319	-0.5754586608172545
1103	320-324	0.32820093264358974
1103	325-326	-0.31285585255957926
1104	1	-0.06936719213621245
1104	2	-0.03849548656445023
1104	3	0.06018833161835602
1104	4	0.027236428434079585
1104	5	0.033281677615406124
1104	6	0.02504564264936704
1104	7	0.05768198779693279
1104	8	-0.17035773448192515
1104	9	-0.08786835598390041
1104	10-14	-0.11160721942908225
1104	15-19	-0.025478120651293068
1104	20-24	-0.13997262360440743
1104	25-29	-0.22136737645688953
1104	30-34	-0.012880056832429432
1104	35-39	0.1407599209590913
1104	40-44	0.028690593550535937
1104	45-49	-0.08685804802661323
1104	50-54	-0.14401450247881797
1104	55-59	0.06324251736560171
1104	60-64	-8.136828657470119E-4
1104	65-69	0.08109995808202797
1104	70-74	0.02385390668601417
1104	75-79	0.2866739921461843
1104	80-84	0.012840685287201836
1104	85-89	0.01412771543598268
1104	90-94	0.05997795420174157
1104	95-99	0.23435407289004218
1104	100-104	0.1967766545838927
1104	105-109	0.27983057139549317
1104	110-114	0.08620271037867866
1104	115-119	0.1676784019284412
1104	120-124	-0.08546309861293366
1104	125-129	0.2181097588169223
1104	130-134	0.13386892829999653
1104	135-139	0.2626316540413782
1104	140-144	0.19580891199815653
1104	145-149	0.2173308118878552
1104	150-154	0.2834212707268762
1104	155-159	0.3410997969074998
1104	160-164	0.13070499544114966
1104	165-169	0.511915214386498
1104	170-174	0.32824269776318715
1104	175-179	-0.06129074147347069
1104	180-184	0.07439607953320149
1104	185-189	0.039001635225325515
1104	190-194	0.28358120797680897
1104	195-199	-0.09156287238518246
1104	200-204	0.17519855702223452
1104	205-209	0.024640372776168817
1104	210-214	0.3676356948353927
1104	215-219	0.07993799557913661
1104	220-224	0.5427761931055315
1104	225-229	0.4079867246050384
1104	230-234	-0.692448047869668
1104	235-239	-0.41996167384454
1104	240-244	0.1724821094669906
1104	245-249	0.4662037591828678
1104	250-254	0.11854764615598867
1104	255-259	-0.10225856628132846
1104	260-264	-0.28430208164905224
1104	265-269	-0.39330610976391966
1104	270-274	0.08492619780999533
1104	275-279	0.8914715134989457
1104	280-284	0.695303991638081
1104	285-289	0.14011823997774542
1104	290-294	1.0130794123827762
1104	295-299	-0.4495107730397123
1104	300-304	0.47917599385237963
1104	305-309	0.05672884055751837
1104	310-314	0.3155376768630731
1104	315-319	0.3743451469375607
1104	320-324	0.724250387020188
1104	325-326	2.7890915586315046
1105	1	-0.028322988065006882
1105	2	0.0055212070732295615
1105	3	-0.03191058102395061
1105	4	0.07841605538238383
1105	5	-0.006746145114064461
1105	6	-0.037385155408721005
1105	7	-0.0877655890704574
1105	8	-0.08940778700442564
1105	9	-0.2964877240104684
1105	10-14	-0.13326238792694767
1105	15-19	0.05591642268686314
1105	20-24	0.020736004280770715
1105	25-29	-0.03328231839822848
1105	30-34	-0.05693138692923583
1105	35-39	0.05975432802265601
1105	40-44	-0.11038103578256653
1105	45-49	-0.20647420792213467
1105	50-54	-0.15458032594644067
1105	55-59	-0.08334408797749404
1105	60-64	-0.3266757616211109
1105	65-69	-0.42226318531859164
1105	70-74	-0.3234186141100608
1105	75-79	0.02603861185490075
1105	80-84	-0.10094235420405084
1105	85-89	0.20170401501295743
1105	90-94	0.13213648697861657
1105	95-99	0.26782708768151764
1105	100-104	0.2776777703321258
1105	105-109	0.31370673185882936
1105	110-114	0.26450552388121906
1105	115-119	0.2987836456612314
1105	120-124	0.26007248892929624
1105	125-129	0.23067995442774958
1105	130-134	0.42459544222555934
1105	135-139	0.1581947804076691
1105	140-144	0.4833971356020541
1105	145-149	0.4968765632435037
1105	150-154	0.45278958120582047
1105	155-159	0.43224649082908684
1105	160-164	0.288898789269048
1105	165-169	0.5859600146590509
1105	170-174	0.5790333743097662
1105	175-179	0.06174818195724896
1105	180-184	0.10151756265502598
1105	185-189	-0.03960155019328937
1105	190-194	0.03403517271576817
1105	195-199	0.07147548323472819
1105	200-204	0.31906307736405637
1105	205-209	0.05680912614754874
1105	210-214	0.0994126587510138
1105	215-219	-0.08046571790353596
1105	220-224	-0.23332351447191257
1105	225-229	0.29909140052702554
1105	230-234	-0.44115826562511273
1105	235-239	-0.5512173874407651
1105	240-244	0.4309598086976152
1105	245-249	0.42571487407937525
1105	250-254	0.13027066804509246
1105	255-259	0.6010512029035695
1105	260-264	0.4511929074205838
1105	265-269	-0.4337331034896117
1105	270-274	-0.016981078685478934
1105	275-279	-0.34044172500998116
1105	280-284	-1.5631623513764232
1105	285-289	0.10370226178167741
1105	290-294	-0.05189972057012682
1105	295-299	-1.226952785361206
1105	300-304	-0.04917423185241887
1105	305-309	-0.5928177625143398
1105	310-314	0.14219752980008238
1105	315-319	0.10533285383362667
1105	320-324	0.20606227130034327
1105	325-326	-0.6749617588031214
1106	1	-0.04227698624382015
1106	2	0.08390810802092119
1106	3	-0.08288412885257657
1106	4	0.002626031437152676
1106	5	0.048291346595043194
1106	6	-0.029754721359282144
1106	7	-0.10386959905325455
1106	8	0.1309276710464573
1106	9	0.08919909936816595
1106	10-14	0.12008769582514844
1106	15-19	0.09881604383510734
1106	20-24	0.21699245431618408
1106	25-29	0.04697410915339617
1106	30-34	0.08923119330977158
1106	35-39	0.19412472587320195
1106	40-44	0.029180867694549306
1106	45-49	0.027460004527135595
1106	50-54	0.05156393000896031
1106	55-59	-0.0416647741825642
1106	60-64	-0.1709570112697989
1106	65-69	-0.07936187788657634
1106	70-74	0.02765779702841087
1106	75-79	0.1035014292978218
1106	80-84	0.022866848408568785
1106	85-89	0.058206887316316624
1106	90-94	-0.12629436976595088
1106	95-99	0.054464413010627766
1106	100-104	0.023139980712890917
1106	105-109	0.11730526141938213
1106	110-114	0.10904084028427263
1106	115-119	-0.07493449762792181
1106	120-124	-0.007872380833383374
1106	125-129	0.08302501305421117
1106	130-134	-0.01186875797004916
1106	135-139	0.06749913214398617
1106	140-144	-0.07352449717031107
1106	145-149	-0.027268209838915425
1106	150-154	0.22797479137299348
1106	155-159	0.04164808492934213
1106	160-164	-0.10470963315628268
1106	165-169	0.18272740867611503
1106	170-174	0.3209397743187594
1106	175-179	0.08255523736853121
1106	180-184	0.01254304802370143
1106	185-189	-0.07076744679037006
1106	190-194	-0.3370501195172082
1106	195-199	-0.07703665238745572
1106	200-204	-0.17002610456348322
1106	205-209	-0.0498494463570367
1106	210-214	-0.4448702771814439
1106	215-219	-0.6932561802825461
1106	220-224	-0.33584057404269174
1106	225-229	0.2188057440567519
1106	230-234	-0.44385744384283043
1106	235-239	-1.02057480090631
1106	240-244	0.6452690506568501
1106	245-249	-0.33898108895728285
1106	250-254	-0.14530857042915812
1106	255-259	0.22939426047330613
1106	260-264	-0.04337613465781942
1106	265-269	-0.40337549891191316
1106	270-274	-0.2054457735243247
1106	275-279	-1.9582679928143314
1106	280-284	-0.6910877726663216
1106	285-289	-0.3022216530947155
1106	290-294	-0.3665838796204106
1106	295-299	-2.4144669782495853
1106	300-304	0.18139303400708684
1106	305-309	0.7073817810648535
1106	310-314	-0.1509303017514121
1106	315-319	0.5499918310463094
1106	320-324	1.2831310604361796
1106	325-326	0.29418767966438253
1107	1	-0.014922653056636648
1107	2	-0.05478030046445781
1107	3	-0.12571292608257778
1107	4	-0.1242640116192959
1107	5	0.015029399274546051
1107	6	-0.0708859929296608
1107	7	-0.012388704648344628
1107	8	0.10657211249306187
1107	9	-0.005030437578312785
1107	10-14	0.13373928711492766
1107	15-19	0.09812747796324572
1107	20-24	0.1483741952355473
1107	25-29	0.14862722934046246
1107	30-34	0.16350412395853908
1107	35-39	-0.0028922381414986376
1107	40-44	0.1381951786227944
1107	45-49	0.2477971488617854
1107	50-54	0.2514498248073309
1107	55-59	0.10325557701413857
1107	60-64	0.125250536536349
1107	65-69	0.3529461949159227
1107	70-74	0.22800517148458255
1107	75-79	0.06523459175439683
1107	80-84	0.022005719497798282
1107	85-89	0.03754991116036166
