sample-id	Location	Type
#q2:types	categorical	categorical
BrL1	Barrow Alaska Low	Permafrost
BrL2	Barrow Alaska Low	Permafrost
BrL3	Barrow Alaska Low	Permafrost
BrL4	Barrow Alaska Low	Permafrost
BrL5	Barrow Alaska Low	Permafrost
BrL6	Barrow Alaska Low	Permafrost
BrL7	Barrow Alaska Low	Permafrost
BrL8	Barrow Alaska Low	Permafrost
BrL9	Barrow Alaska Low	Permafrost
BrL10	Barrow Alaska Low	Permafrost
BrH1	Barrow Alaska High	Permafrost
BrH2	Barrow Alaska High	Permafrost
BrH3	Barrow Alaska High	Permafrost
BrH4	Barrow Alaska High	Permafrost
BrH5	Barrow Alaska High	Permafrost
BrH6	Barrow Alaska High	Permafrost
BrH7	Barrow Alaska High	Permafrost
BrH8	Barrow Alaska High	Permafrost
BrH9	Barrow Alaska High	Permafrost
BrH10	Barrow Alaska High	Permafrost
CaS1	Catriona snow	Other
CaS2	Catriona snow	Other
CaS3	Catriona snow	Other
CaS4	Catriona snow	Other
CaS5	Catriona snow	Other
CaS6	Catriona snow	Other
CaS7	Catriona snow	Other
CaS8	Catriona snow	Other
CaS9	Catriona snow	Other
CaS10	Catriona snow	Other
EaI1	East Iceland glaciers	Glacier
EaI2	East Iceland glaciers	Glacier
EaI3	East Iceland glaciers	Glacier
EaI4	East Iceland glaciers	Glacier
EaI5	East Iceland glaciers	Glacier
EaI6	East Iceland glaciers	Glacier
EaI7	East Iceland glaciers	Glacier
EaI8	East Iceland glaciers	Glacier
EaI9	East Iceland glaciers	Glacier
EaI10	East Iceland glaciers	Glacier
BhM1	Bihor mountain caves	Other
BhM2	Bihor mountain caves	Other
BhM3	Bihor mountain caves	Other
BhM4	Bihor mountain caves	Other
BhM5	Bihor mountain caves	Other
BhM6	Bihor mountain caves	Other
BhM7	Bihor mountain caves	Other
BhM8	Bihor mountain caves	Other
BhM9	Bihor mountain caves	Other
BhM10	Bihor mountain caves	Other
CeY1	Central Yakutia 	Permafrost
CeY2	Central Yakutia 	Permafrost
CeY3	Central Yakutia 	Permafrost
CeY4	Central Yakutia 	Permafrost
CeY5	Central Yakutia 	Permafrost
CeY6	Central Yakutia 	Permafrost
CeY7	Central Yakutia 	Permafrost
CeY8	Central Yakutia 	Permafrost
CeY9	Central Yakutia 	Permafrost
CeY10	Central Yakutia 	Permafrost
CrC1	Cryoconite	Other
CrC2	Cryoconite	Other
CrC3	Cryoconite	Other
CrC4	Cryoconite	Other
CrC5	Cryoconite	Other
CrC6	Cryoconite	Other
CrC7	Cryoconite	Other
CrC8	Cryoconite	Other
CrC9	Cryoconite	Other
CrC10	Cryoconite	Other
GrI1	Greenland ice	Other
GrI2	Greenland ice	Other
GrI3	Greenland ice	Other
GrI4	Greenland ice	Other
GrI5	Greenland ice	Other
GrI6	Greenland ice	Other
GrI7	Greenland ice	Other
GrI8	Greenland ice	Other
GrI9	Greenland ice	Other
GrI10	Greenland ice	Other
HaS1	Hailstone	Other
HaS2	Hailstone	Other
HaS3	Hailstone	Other
HaS4	Hailstone	Other
HaS5	Hailstone	Other
HaS6	Hailstone	Other
HaS7	Hailstone	Other
HaS8	Hailstone	Other
HaS9	Hailstone	Other
HaS10	Hailstone	Other
SvG1	Sverdrup glacier	Glacier
SvG2	Sverdrup glacier	Glacier
SvG3	Sverdrup glacier	Glacier
SvG4	Sverdrup glacier	Glacier
SvG5	Sverdrup glacier	Glacier
SvG6	Sverdrup glacier	Glacier
SvG7	Sverdrup glacier	Glacier
SvG8	Sverdrup glacier	Glacier
SvG9	Sverdrup glacier	Glacier
SvG10	Sverdrup glacier	Glacier
ViS1	Villum station	Glacier
ViS2	Villum station	Glacier
ViS3	Villum station	Glacier
ViS4	Villum station	Glacier
ViS5	Villum station	Glacier
ViS6	Villum station	Glacier
ViS7	Villum station	Glacier
ViS8	Villum station	Glacier
ViS9	Villum station	Glacier
ViS10	Villum station	Glacier
StR1	Storglaciaren	Glacier
StR2	Storglaciaren	Glacier
StR3	Storglaciaren	Glacier
StR4	Storglaciaren	Glacier
StR5	Storglaciaren	Glacier
StR6	Storglaciaren	Glacier
StR7	Storglaciaren	Glacier
StR8	Storglaciaren	Glacier
StR9	Storglaciaren	Glacier
StR10	Storglaciaren	Glacier
NzS1	Newzealand soil	Other
NzS2	Newzealand soil	Other
NzS3	Newzealand soil	Other
NzS4	Newzealand soil	Other
NzS5	Newzealand soil	Other
NzS6	Newzealand soil	Other
NzS7	Newzealand soil	Other
NzS8	Newzealand soil	Other
NzS9	Newzealand soil	Other
NzS10	Newzealand soil	Other
