"sample.id","Location","Type","Abditibacteriota","Acidobacteriota","Actinobacteriota","Altiarchaeota","AncK6","Armatimonadota","Arthropoda","Ascomycota","Asgardarchaeota","Bacteroidota","Basidiomycota","Bdellovibrionota","Caldatribacteriota","Caldisericota","Campilobacterota","Cercozoa","Chloroflexi","Ciliophora","Cloacimonadota","Crenarchaeota","Cyanobacteria","DTB120","Deinococcota","Dependentiae","Desulfobacterota","Diatomea","Elusimicrobiota","Entotheonellaeota","Euryarchaeota","FCPU426","Fibrobacterota","Firestonebacteria","Firmicutes","Fusobacteriota","GAL15","Gemmatimonadota","Halobacterota","Hydrogenedentes","Latescibacterota","MBNT15","Margulisbacteria","Marinimicrobia_(SAR406_clade)","Methylomirabilota","Myxococcota","NB1-j","Nanoarchaeota","Nitrospinota","Nitrospirota","Patescibacteria","Phragmoplastophyta","Planctomycetota","Proteobacteria","RCP2-54","Spirochaetota","Sumerlaeota","Sva0485","Synergistota","TA06","Thermoplasmatota","Verrucomicrobiota","WPS-2","WS1","WS2","WS4","Zixibacteria"
"BrL1","Barrow Alaska Low","Permafrost","0.0000000000","0.0782423854","0.0559664551","0.0000000000","0.0000000000","0.0022712713","0.0000000000","0.0000000000","0.0000000000","0.3104944383","0.0000000000","0.0010191602","0.0003785452","0.0044551861","0.0000000000","0.0000000000","0.1232310291","0.0000000000","0.0010482791","0.0037563334","0.0012521111","0.0000000000","0.0000000000","0.0000000000","0.1010133364","0.0000000000","0.0031739561","0.0000000000","0.0230621397","0.0000000000","0.0000000000","0.0000000000","0.0194805195","0.0000000000","0.0000000000","0.0008153282","0.0048337313","0.0000000000","0.0003785452","0.0162774445","0.0000000000","0.0000000000","0.0024751034","0.0126667055","0.0000000000","0.0029410052","0.0000000000","0.0002911886","0.0055617029","0.0000000000","0.0149379768","0.0956263467","0.0000000000","0.0019509638","0.0000000000","0.0001455943","0.0012812300","0.0041639974","0.0004367829","0.1041872925","0.0018344884","0.0000000000","0.0000000000","0.0003494264","0.0000000000"
"BrL2","Barrow Alaska Low","Permafrost","0.0001995211","0.1216223920","0.0350587162","0.0000000000","0.0000000000","0.0023942538","0.0000000000","0.0000000000","0.0000000000","0.2697810968","0.0000000000","0.0016246722","0.0000000000","0.0069547372","0.0000000000","0.0000000000","0.0511059172","0.0000000000","0.0000000000","0.0086079124","0.0011971269","0.0000000000","0.0000000000","0.0001710181","0.1052616577","0.0000000000","0.0040474290","0.0000000000","0.0016531752","0.0001140121","0.0026792840","0.0000000000","0.0210352297","0.0001140121","0.0000000000","0.0191540303","0.0051590469","0.0003705393","0.0007695816","0.0092349789","0.0000000000","0.0000000000","0.0021662296","0.0101185726","0.0000000000","0.0003420363","0.0000000000","0.0066982100","0.0074962946","0.0000000000","0.0108881541","0.1353893513","0.0000000000","0.0045319804","0.0000000000","0.0001710181","0.0009120967","0.0000000000","0.0000000000","0.1524341580","0.0000000000","0.0000000000","0.0000000000","0.0005415574","0.0000000000"
"BrL3","Barrow Alaska Low","Permafrost","9.037233e-05","7.805157e-02","5.434390e-02","0.000000e+00","0.000000e+00","3.494397e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.091939e-01","0.000000e+00","5.121099e-04","2.409929e-04","3.404025e-03","0.000000e+00","0.000000e+00","1.253766e-01","0.000000e+00","6.627304e-04","3.223280e-03","1.235089e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.060369e-01","0.000000e+00","3.464273e-03","0.000000e+00","2.277383e-02","0.000000e+00","1.807447e-04","0.000000e+00","1.991204e-02","0.000000e+00","0.000000e+00","9.338475e-04","4.669237e-03","4.217376e-04","9.940957e-04","1.626702e-02","6.024822e-05","0.000000e+00","2.470177e-03","1.364622e-02","0.000000e+00","2.409929e-03","0.000000e+00","4.217376e-04","6.416436e-03","0.000000e+00","1.473069e-02","9.097482e-02","0.000000e+00","1.686950e-03","2.409929e-04","2.108688e-04","1.445957e-03","3.584769e-03","3.012411e-04","1.035064e-01","2.078564e-03","0.000000e+00","0.000000e+00","3.313652e-04","0.000000e+00"
"BrL4","Barrow Alaska Low","Permafrost","0.0000000000","0.1242648939","0.0349441746","0.0000000000","0.0000000000","0.0019886929","0.0000000000","0.0000000000","0.0000000000","0.2709167874","0.0000000000","0.0018466434","0.0000000000","0.0059376687","0.0000000000","0.0000000000","0.0521889826","0.0000000000","0.0000000000","0.0076138527","0.0009659365","0.0000000000","0.0000000000","0.0000000000","0.1074178244","0.0000000000","0.0025853007","0.0000000000","0.0017045939","0.0002272792","0.0025568908","0.0000000000","0.0199437484","0.0001136396","0.0000000000","0.0182959743","0.0054831103","0.0004545584","0.0006818376","0.0084661496","0.0000000000","0.0000000000","0.0023580215","0.0103412029","0.0000000000","0.0005397881","0.0000000000","0.0058808489","0.0075286230","0.0000000000","0.0112787295","0.1311400892","0.0000000000","0.0042046649","0.0001420495","0.0000000000","0.0004261485","0.0001420495","0.0000000000","0.1569646865","0.0000000000","0.0000000000","0.0000000000","0.0004545584","0.0000000000"
"BrL5","Barrow Alaska Low","Permafrost","0.0002855415","0.1599872346","0.0796996775","0.0000000000","0.0000000000","0.0038128191","0.0000000000","0.0000000000","0.0000000000","0.1861394786","0.0000000000","0.0011757592","0.0000000000","0.0001007794","0.0000000000","0.0000000000","0.0584352325","0.0000000000","0.0001679656","0.0035440742","0.0014445042","0.0000000000","0.0000000000","0.0003527278","0.0483908895","0.0000000000","0.0045182747","0.0000000000","0.0310736361","0.0000000000","0.0003359312","0.0000000000","0.0117072024","0.0000000000","0.0000000000","0.0020491803","0.0028218221","0.0001343725","0.0002183553","0.0023515184","0.0001679656","0.0000000000","0.0002183553","0.0144114485","0.0000000000","0.0007054555","0.0000000000","0.0002519484","0.0025194840","0.0000000000","0.0233640150","0.2564666756","0.0000000000","0.0019987906","0.0006886590","0.0000000000","0.0002519484","0.0003359312","0.0002351518","0.0948501747","0.0047870196","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"BrL6","Barrow Alaska Low","Permafrost","1.463676e-04","1.438957e-01","1.010262e-01","7.318382e-04","0.000000e+00","1.577518e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.175023e-01","0.000000e+00","9.920474e-04","0.000000e+00","4.065768e-04","0.000000e+00","0.000000e+00","6.035226e-02","0.000000e+00","3.252614e-05","5.675812e-03","3.073721e-03","0.000000e+00","0.000000e+00","6.505229e-05","6.355608e-02","0.000000e+00","3.041194e-03","0.000000e+00","1.853990e-02","0.000000e+00","6.179967e-04","0.000000e+00","9.058531e-03","0.000000e+00","0.000000e+00","5.252972e-03","1.772675e-03","9.757843e-05","7.318382e-04","3.138773e-03","4.878921e-05","0.000000e+00","5.854706e-04","5.885606e-02","0.000000e+00","1.967832e-03","0.000000e+00","1.235993e-03","5.659549e-03","0.000000e+00","1.302672e-02","2.294719e-01","0.000000e+00","5.692075e-04","1.788938e-04","1.138415e-04","6.667859e-04","1.496203e-03","2.602091e-04","4.400787e-02","2.602091e-04","0.000000e+00","0.000000e+00","3.089984e-04","0.000000e+00"
"BrL7","Barrow Alaska Low","Permafrost","0.000000e+00","7.856723e-02","1.408338e-01","0.000000e+00","0.000000e+00","6.365238e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.519554e-01","0.000000e+00","6.576629e-04","0.000000e+00","1.423371e-02","0.000000e+00","0.000000e+00","7.455079e-02","0.000000e+00","0.000000e+00","2.959483e-03","2.278332e-03","0.000000e+00","0.000000e+00","1.009982e-03","7.708749e-02","0.000000e+00","4.462713e-03","0.000000e+00","2.137405e-03","0.000000e+00","1.644157e-04","0.000000e+00","7.861421e-02","2.395772e-03","0.000000e+00","6.012918e-03","1.416324e-02","0.000000e+00","7.985907e-04","1.484439e-02","0.000000e+00","0.000000e+00","2.254844e-03","5.825015e-03","0.000000e+00","5.167352e-04","0.000000e+00","4.603641e-03","3.264827e-03","0.000000e+00","1.061656e-02","9.359953e-02","0.000000e+00","8.690546e-04","1.409278e-04","0.000000e+00","0.000000e+00","0.000000e+00","9.395185e-05","1.040282e-01","0.000000e+00","0.000000e+00","0.000000e+00","9.395185e-05","0.000000e+00"
"BrL8","Barrow Alaska Low","Permafrost","0.000000000","0.033865909","0.200720447","0.000000000","0.000000000","0.000955695","0.000000000","0.000000000","0.000000000","0.214541266","0.000000000","0.002916095","0.000000000","0.024235444","0.000000000","0.000000000","0.070892962","0.000000000","0.000000000","0.005195060","0.003357185","0.000000000","0.000000000","0.000980200","0.045162713","0.000000000","0.000000000","0.000000000","0.017079984","0.000000000","0.000637130","0.000000000","0.246275240","0.000000000","0.000000000","0.002940600","0.008282690","0.000000000","0.000784160","0.000980200","0.000000000","0.000000000","0.000000000","0.001053715","0.000000000","0.000784160","0.000000000","0.002916095","0.000955695","0.000000000","0.013771809","0.063712997","0.000000000","0.000612625","0.000122525","0.000000000","0.000122525","0.001102725","0.000073515","0.034601059","0.000073515","0.000000000","0.000000000","0.000294060","0.000000000"
"BrL9","Barrow Alaska Low","Permafrost","0.0164537779","0.1106660893","0.0510572274","0.0000000000","0.0000000000","0.0017319766","0.0000000000","0.0000000000","0.0000000000","0.2298477304","0.0000000000","0.0000000000","0.0000000000","0.0136393159","0.0000000000","0.0000000000","0.0430829184","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0130259075","0.0998773183","0.0000000000","0.0000000000","0.0000000000","0.0021649708","0.0000000000","0.0000000000","0.0000000000","0.1433571480","0.0000000000","0.0000000000","0.0000000000","0.0033196219","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0029948762","0.0000000000","0.0075773977","0.1794399942","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0067474922","0.0000000000","0.0002886628","0.0747275745","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"BrL10","Barrow Alaska Low","Permafrost","0.0000000000","0.1101383380","0.0565766986","0.0000000000","0.0000000000","0.0034181419","0.0000000000","0.0000000000","0.0000000000","0.2142304344","0.0000000000","0.0018541808","0.0002740963","0.0122375931","0.0000000000","0.0000000000","0.1091870627","0.0000000000","0.0000000000","0.0049176099","0.0036599916","0.0000000000","0.0000000000","0.0003869595","0.1703750282","0.0000000000","0.0014349747","0.0000000000","0.0041598143","0.0000000000","0.0014027281","0.0000000000","0.0494501951","0.0000000000","0.0000000000","0.0050788430","0.0160426945","0.0009190287","0.0011125085","0.0013382348","0.0000000000","0.0000000000","0.0023701267","0.0049982264","0.0000000000","0.0000000000","0.0000000000","0.0010318919","0.0042243075","0.0000000000","0.0168972300","0.0572861243","0.0000000000","0.0044500339","0.0009029054","0.0000000000","0.0017574409","0.0000000000","0.0001289865","0.1356615395","0.0000000000","0.0007577956","0.0002740963","0.0010641385","0.0000000000"
