sample-id	Location
#q2:types	categorical
BrA1	Barrow Alaska high
BrA2	Barrow Alaska high
BrA3	Barrow Alaska high
BrA4	Barrow Alaska high
BrA5	Barrow Alaska high
BrA6	Barrow Alaska high
BrA7	Barrow Alaska high
BrA8	Barrow Alaska high
BrA9	Barrow Alaska high
BrA10	Barrow Alaska high
BrA11	Barrow Alaska high
BrA12	Barrow Alaska high
BrA13	Barrow Alaska high
BrA14	Barrow Alaska high
BrA15	Barrow Alaska high
BrA16	Barrow Alaska high
BrA17	Barrow Alaska high
BrA18	Barrow Alaska high
MzA1	Muztagh Ata
MzaA2	Muztagh Ata
DvN1	Devon ice cap
GrC1	Greenland ice sheet cryoconite
GrF1	Greenland ice sheet fresh snow
BrL1	Barrow Alaska low
BrL2	Barrow Alaska low
BrL3	Barrow Alaska low
BrL4	Barrow Alaska low
BrL5	Barrow Alaska low
BrL6	Barrow Alaska low
BrL7	Barrow Alaska low
BrL8	Barrow Alaska low
BrL9	Barrow Alaska low
BrL10	Barrow Alaska low
BrL11	Barrow Alaska low
BrL12	Barrow Alaska low
BrL13	Barrow Alaska low
BrL14	Barrow Alaska low
BrL15	Barrow Alaska low
BrL16	Barrow Alaska low

