Name	Type	Trimto	Path
BrH	single	99	data/raw/barrowHighFQ.qza
BrL	single	99	data/raw/barrowLowFQ.qza
BhM	single	250	data/raw/bihorFQ.qza
CaS	paired	250	data/raw/catrionaFQ.qza
EaI	paired	150	data/raw/icelandFQ.qza
Jelly	paired	250	data/raw/jelly.qza
CeY	paired	150	data/raw/yakutiaFQ.qza
CrC	paired	180	data/raw/CryFQ.qza
GrI	paired	180	data/raw/GreenlandFQ.qza
HaS	single	140	data/raw/HailstoneFQ.qza
StR	paired	200	data/raw/StorglaciarenFQ.qza
SvG	paired	200	data/raw/SverdrupFQ.qza
ViS	paired	200	data/raw/VillumFQ.qza
NzS	single	200	data/raw/NzSoilFQ.qza
