sample.id	Location	Type
CaS1	Catriona snow	Other
CaS2	Catriona snow	Other
CaS3	Catriona snow	Other
CaS4	Catriona snow	Other
CaS5	Catriona snow	Other
CaS6	Catriona snow	Other
CaS7	Catriona snow	Other
CaS8	Catriona snow	Other
CaS9	Catriona snow	Other
CaS10	Catriona snow	Other
EaI1	East Iceland glaciers	Glacier
EaI2	East Iceland glaciers	Glacier
EaI3	East Iceland glaciers	Glacier
EaI4	East Iceland glaciers	Glacier
EaI5	East Iceland glaciers	Glacier
EaI6	East Iceland glaciers	Glacier
EaI7	East Iceland glaciers	Glacier
EaI8	East Iceland glaciers	Glacier
EaI9	East Iceland glaciers	Glacier
EaI10	East Iceland glaciers	Glacier
BhM1	Bihor mountain caves	Other
BhM2	Bihor mountain caves	Other
BhM3	Bihor mountain caves	Other
BhM4	Bihor mountain caves	Other
BhM5	Bihor mountain caves	Other
BhM6	Bihor mountain caves	Other
BhM7	Bihor mountain caves	Other
BhM8	Bihor mountain caves	Other
BhM9	Bihor mountain caves	Other
BhM10	Bihor mountain caves	Other
CeY1	Central Yakutia 	Permafrost
CeY2	Central Yakutia 	Permafrost
CeY3	Central Yakutia 	Permafrost
CeY4	Central Yakutia 	Permafrost
CeY5	Central Yakutia 	Permafrost
CeY6	Central Yakutia 	Permafrost
CeY7	Central Yakutia 	Permafrost
CeY8	Central Yakutia 	Permafrost
CeY9	Central Yakutia 	Permafrost
CeY10	Central Yakutia 	Permafrost
CrC1	Cryoconite	Other
CrC2	Cryoconite	Other
CrC3	Cryoconite	Other
CrC4	Cryoconite	Other
CrC5	Cryoconite	Other
CrC6	Cryoconite	Other
CrC7	Cryoconite	Other
CrC8	Cryoconite	Other
CrC9	Cryoconite	Other
CrC10	Cryoconite	Other
GrI1	Greenland ice	Other
GrI2	Greenland ice	Other
GrI3	Greenland ice	Other
GrI4	Greenland ice	Other
GrI5	Greenland ice	Other
GrI6	Greenland ice	Other
GrI7	Greenland ice	Other
GrI8	Greenland ice	Other
GrI9	Greenland ice	Other
GrI10	Greenland ice	Other
